transaction_date,feature,psi,status,reference_mean,current_mean
2024-10-26,amount,9.116451566785214e-05,Stable,47905.488522523345,48531.087940419355
2024-10-26,distance_from_home,0.0,Stable,0.32311849570835904,0.32127880423500105
2024-10-26,transaction_hour,2.8673075621799717e-05,Stable,12.164064604634392,12.165476437616775
2024-10-26,customer_prior_transactions,0.46633227049843196,High Drift,1237.0764330682227,1396.3689225659125
2024-10-26,minutes_since_previous_transaction,0.00035698939780921395,Stable,29.003314917890336,29.027087398795928
2024-10-26,customer_avg_amount_prior,0.0010027552985507249,Stable,47941.51912601315,48091.91341861316
2024-10-26,amount_vs_customer_average,0.0001281907973661016,Stable,1.020028163795435,1.025416578757107
2024-10-26,calculated_txn_count_1h,6.069949634612327e-05,Stable,2.2952881056684475,2.297072866929624
2024-10-26,calculated_amount_24h,0.0005005723020033821,Stable,2550035.0231206925,2595029.829715798
2024-10-27,amount,0.00016763435811946215,Stable,47905.488522523345,48682.481689687214
2024-10-27,distance_from_home,0.0,Stable,0.32311849570835904,0.32259729534427584
2024-10-27,transaction_hour,0.00023351627661645223,Stable,12.164064604634392,12.167151852998865
2024-10-27,customer_prior_transactions,0.9877515442845033,High Drift,1237.0764330682227,1445.547723753484
2024-10-27,minutes_since_previous_transaction,0.0001595119756330274,Stable,29.003314917890336,29.2088379615292
2024-10-27,customer_avg_amount_prior,0.002932786793242051,Stable,47941.51912601315,48202.08459790906
2024-10-27,amount_vs_customer_average,0.00025102741837865477,Stable,1.020028163795435,1.0176616267481664
2024-10-27,calculated_txn_count_1h,0.00014035532791505068,Stable,2.2952881056684475,2.278538247135336
2024-10-27,calculated_amount_24h,0.001334537405017679,Stable,2550035.0231206925,2556721.758080314
2024-10-28,amount,0.00019105863817663705,Stable,47905.488522523345,47851.83126112387
2024-10-28,distance_from_home,0.0,Stable,0.32311849570835904,0.32099435972425316
2024-10-28,transaction_hour,0.0003435636798467743,Stable,12.164064604634392,12.232776269062043
2024-10-28,customer_prior_transactions,1.783192192456668,High Drift,1237.0764330682227,1500.1247754334656
2024-10-28,minutes_since_previous_transaction,0.0005463908916628859,Stable,29.003314917890336,28.769597172898823
2024-10-28,customer_avg_amount_prior,0.003982964859505675,Stable,47941.51912601315,48845.24655414856
2024-10-28,amount_vs_customer_average,0.00028496300733111955,Stable,1.020028163795435,1.001756190558464
2024-10-28,calculated_txn_count_1h,0.00011308790371880753,Stable,2.2952881056684475,2.304762899519532
2024-10-28,calculated_amount_24h,0.0010451943370239564,Stable,2550035.0231206925,2603255.6804190516
2024-10-29,amount,0.0002365236656540829,Stable,47905.488522523345,48149.02625062417
2024-10-29,distance_from_home,0.0,Stable,0.32311849570835904,0.3220705725699068
2024-10-29,transaction_hour,0.00022149810230437852,Stable,12.164064604634392,12.188040945406126
2024-10-29,customer_prior_transactions,2.076322945321662,High Drift,1237.0764330682227,1555.124958388815
2024-10-29,minutes_since_previous_transaction,0.0003113397664077834,Stable,29.003314917890336,29.194855123723922
2024-10-29,customer_avg_amount_prior,0.005284029675844224,Stable,47941.51912601315,48080.19628890025
2024-10-29,amount_vs_customer_average,0.00021678099359399023,Stable,1.020028163795435,1.0139420124748402
2024-10-29,calculated_txn_count_1h,0.00040747116787545634,Stable,2.2952881056684475,2.296125998668442
2024-10-29,calculated_amount_24h,0.0008857889648874966,Stable,2550035.0231206925,2540704.8152398886
2024-10-30,amount,0.00011706566334454981,Stable,47905.488522523345,47906.44604690357
2024-10-30,distance_from_home,0.0,Stable,0.32311849570835904,0.3228166813968306
2024-10-30,transaction_hour,0.0002713488726352186,Stable,12.164064604634392,12.09092964462623
2024-10-30,customer_prior_transactions,3.180947097670868,High Drift,1237.0764330682227,1602.453312231517
2024-10-30,minutes_since_previous_transaction,0.00014926450615416602,Stable,29.003314917890336,29.02645331908276
2024-10-30,customer_avg_amount_prior,0.005706444027670484,Stable,47941.51912601315,48186.78748834584
2024-10-30,amount_vs_customer_average,0.00016113446571875984,Stable,1.020028163795435,1.017120369180778
2024-10-30,calculated_txn_count_1h,0.00017262773624366162,Stable,2.2952881056684475,2.280743222411773
2024-10-30,calculated_amount_24h,0.0011930977982466324,Stable,2550035.0231206925,2540535.8565586912
