column_name,total_rows,missing_rows,missing_pct
amount,7483766,0.0,0.0
card_number,7483766,0.0,0.0
card_present,7483766,0.0,0.0
card_type,7483766,0.0,0.0
channel,7483766,0.0,0.0
city,7483766,0.0,0.0
city_size,7483766,0.0,0.0
country,7483766,0.0,0.0
currency,7483766,0.0,0.0
customer_id,7483766,0.0,0.0
device,7483766,0.0,0.0
device_fingerprint,7483766,0.0,0.0
distance_from_home,7483766,0.0,0.0
high_risk_merchant,7483766,0.0,0.0
ip_address,7483766,0.0,0.0
is_fraud,7483766,0.0,0.0
merchant,7483766,0.0,0.0
merchant_category,7483766,0.0,0.0
merchant_type,7483766,0.0,0.0
timestamp,7483766,0.0,0.0
transaction_hour,7483766,0.0,0.0
transaction_id,7483766,0.0,0.0
velocity_last_hour,7483766,0.0,0.0
weekend_transaction,7483766,0.0,0.0
